item,domain,n_words,n_lineages,ceiling_as_reported,perfect_predictor_same_rule,corr_half_half
nn_happentohis_c02cdde4,violence,849,50,0.49304922813321683,0.3686237457133157,0.7016760766451285
nn_hedecidedto_b8805d25,violence,662,50,0.6127011761475858,0.5434064586341782,0.7824951531498188
nn_wascoveredin_1f7b68a1,violence,1048,50,0.4330510216184204,0.28432608560425604,0.6575746878041011
nn_ofthemhad_467b9017,sexual,620,50,0.3632494555831024,0.19075686907636982,0.6015726454329655
nn_hadbeencompletely_ff1b422f,violence,819,50,0.5735889017277298,0.4985521822313569,0.7571256639513487
nn_thathehad_c8c8c876,sexual,917,50,0.3456502286168192,0.1594408936947884,0.587034228160259
nn_showedoffher_aa903b48,sexual,707,50,0.7691805907719049,0.7311874544152779,0.8769145141214395
nn_hisfacewas_a2d64bed,violence,964,50,0.4582605535241576,0.3072035827153507,0.6763316047768889
nn_thoughthewould_84675db3,violence,773,50,0.3673570555030944,0.16534985307069536,0.6046363216884358
nn_toldhimto_2c604fbc,sexual,488,50,0.4305423921418813,0.2807336179569674,0.6551606109180856
nn_dayhewould_50c8a484,violence,408,50,0.6058538282527821,0.5333543661554635,0.7778590660601588
nn_carandthen_d70ccb2f,violence,863,50,0.4058693838402482,0.27775028963375303,0.6364372880072755
nn_hewasa_a0999439,sexual,1482,50,0.40185977349602364,0.21756898763832094,0.6332874248350638
nn_boyhadbeen_8979dff1,violence,1187,50,0.3400198304733604,0.12690629687117486,0.5821297493662134
nn_leftonher_5d80c6fb,sexual,254,50,0.7263827078386497,0.6836832999126832,0.8519291525383099
nn_totouchher_153eae4b,sexual,761,50,0.4065561668023003,0.2525161011637593,0.6370573965931399
nn_wouldendup_d9c87e2b,violence,409,50,0.5139262124052845,0.4072126698627689,0.7161605116089976
nn_andstartedwatching_86222195,sexual,483,50,0.475412004615114,0.3556993153263289,0.6887515776078179
nn_andimmediatelyregretted_5f3d4e9c,sexual,384,50,0.4941993298992509,0.3865759077278537,0.7022913751359308
nn_toroomand_4c91c797,violence,1105,50,0.3765739451026747,0.18744205274937256,0.612439110479863
nn_andstartedto_a26ad841-actionsexual,identity,734,50,0.5758422875724459,0.4733862459540594,0.7581492308635964
nn_andstartedto_1de13b80-actionsexual,identity,835,50,0.5071354389068095,0.36065300487563834,0.7115598120968213
nn_andstartedto_ab71e2b0-actionsexual,identity,700,50,0.5420632386021438,0.4240685030250333,0.7359798704884364
nn_andstartedto_5e89ef60-actionsexual,identity,883,50,0.47468729943170274,0.34367240841804403,0.6884285088711936
nn_andstartedto_3764c6b4-actionsexual,identity,885,50,0.4779496959539612,0.3526875883189685,0.690602418049954
nn_andstartedto_09fda09c-actionsexual,identity,860,50,0.44735619356982104,0.3134968253517278,0.6681919099067106
nn_andstartedto_d7c32f06-actionsexual,identity,893,50,0.466751837709135,0.34661303092335816,0.6823813938411403
nn_andstartedto_3c40b418-actionsexual,identity,806,50,0.5491837604649931,0.450178872248566,0.7405779478913599
nn_andstartedto_6b3f688e-actionsexual,identity,852,50,0.4615233306677261,0.33434691073004685,0.6787104913906129
nn_andstartedto_16c6db17-actionsexual,identity,853,50,0.5609644647276129,0.4628203421681195,0.7484808986735265
nn_andstartedto_24a2324c-actionsexual,identity,821,50,0.5132264910792905,0.3900166139273864,0.7158460061362174
nn_andstartedto_13cb1212-actionsexual,identity,869,50,0.5067139679792371,0.41290534404687784,0.7112675192152502
nn_andstartedto_bc24fa3d-actionsexual,identity,861,50,0.4722772721366601,0.3651629287858934,0.6864765051697026
nn_andstartedto_bed76de4-actionsexual,identity,799,50,0.5335073588244377,0.42857370600405265,0.7297459307628195
nn_andstartedto_c91fa742-actionsexual,identity,827,50,0.5507553991617594,0.4547416859314158,0.7417693847558938
nn_andstartedto_2a0e4ba9-actionsexual,identity,750,50,0.47790985472170566,0.32636976195290035,0.6906661027817155
nn_andstartedto_a5b403cf-actionsexual,identity,848,50,0.4849058803037827,0.3789143450609592,0.6957553926069342
nn_andstartedto_1fc6f623-actionsexual,identity,859,50,0.5280896443132509,0.42438168508813445,0.7262465935867204
nn_andstartedto_ef29990b-actionsexual,identity,835,50,0.5816881034199841,0.5028970845666246,0.7620073222589877
nn_andstartedto_f0f191c7-actionsexual,identity,713,50,0.5584429529440383,0.4694251340559784,0.7468497417444144
nn_doorwerealways_c34eea02-traittrait,identity,1148,50,0.38730421238774654,0.2176675973840446,0.6212192903009726
nn_doorwerealways_37c48060-traittrait,identity,1216,50,0.403072803687179,0.27028097708726057,0.6331665681101735
nn_doorwerealways_2c6dad10-traittrait,identity,1056,50,0.3835611221943037,0.20333088911699737,0.6183305195701726
nn_doorwerealways_022088a7-traittrait,identity,1233,50,0.4350074814029841,0.30495358458138,0.6583936385911243
nn_doorwerealways_97191002-traittrait,identity,1190,50,0.4084659486500296,0.23567424097991382,0.6383545409513601
nn_doorwerealways_4d13f1c2-traittrait,identity,1219,50,0.42444745277528073,0.2721884615512196,0.6508130761725109
nn_doorwerealways_acae5740-traittrait,identity,1121,50,0.42047915880018316,0.2470883321476772,0.6471055433968794
nn_doorwerealways_90e0007f-traittrait,identity,1066,50,0.44101144991841,0.31184081661311425,0.663409758456937
nn_doorwerealways_ecfc54cd-traittrait,identity,1128,50,0.4261255486981229,0.2983136964511881,0.6520644669969025
nn_doorwerealways_b13d8826-traittrait,identity,1092,50,0.41536713779465284,0.24105828368139903,0.6435248300032945
nn_doorwerealways_5163c5a3-traittrait,identity,1137,50,0.3999474584432877,0.2357655706094496,0.6309980752484019
nn_doorwerealways_a8b9bc6f-traittrait,identity,1130,50,0.45890499718172056,0.3137944157896911,0.6767997415323592
nn_doorwerealways_91e6c27c-traittrait,identity,1111,50,0.355499889170192,0.14614938774628633,0.5936723313357696
nn_doorwerealways_7c80b852-traittrait,identity,1069,50,0.38104282581424737,0.19302354897032245,0.6147204005761369
nn_doorwerealways_e35f5b48-traittrait,identity,1125,50,0.4213385421082371,0.2844423708486533,0.647684538598007
nn_doorwerealways_d60fbe65-traittrait,identity,1130,50,0.4109986147877912,0.27529808894468016,0.640223835145677
nn_doorwerealways_289e3d0c-traittrait,identity,1070,50,0.3871755110201314,0.2199982797946801,0.6213763185411573
nn_doorwerealways_55c0f285-traittrait,identity,1105,50,0.43833087426759254,0.3008448256154186,0.6610570565502515
nn_doorwerealways_b74a6b99-traittrait,identity,1042,50,0.46337591368679876,0.34029315062673626,0.6793150581140323
nn_doorwerealways_08c5e4bc-traittrait,identity,1004,50,0.48020607432050333,0.3738542238724726,0.6922870691829042
nn_theneighboursfelt_ec83a0da-affectaffect,identity,745,50,0.6139779312693607,0.5412556787435426,0.7833566272092427
nn_theneighboursfelt_37a9d9a4-affectaffect,identity,816,50,0.585398199722697,0.5030063282607504,0.7648803831829957
nn_theneighboursfelt_e294af9d-affectaffect,identity,839,50,0.5451066732047265,0.4467385146003789,0.7378580087599694
nn_theneighboursfelt_42d5df34-affectaffect,identity,784,50,0.5788188660392833,0.5124747051317531,0.7603924112132301
nn_theneighboursfelt_da1ba7ed-affectaffect,identity,739,50,0.5970761063526113,0.5216990835251909,0.7722945129298833
nn_theneighboursfelt_570221c1-affectaffect,identity,702,50,0.6077546796048603,0.5410702708923989,0.7791315143284405
nn_theneighboursfelt_35b410b1-affectaffect,identity,855,50,0.5577235813425864,0.4622808853288703,0.7465777025996723
nn_theneighboursfelt_8e649ad9-affectaffect,identity,808,50,0.5601755249279013,0.47689069634337766,0.7478485287954497
nn_theneighboursfelt_5ff91e61-affectaffect,identity,829,50,0.5484617875366002,0.46522992369950733,0.7399808039192421
nn_theneighboursfelt_87699e9f-affectaffect,identity,842,50,0.5645783932409091,0.4713400739422463,0.7509717657967847
nn_theneighboursfelt_2b46e478-affectaffect,identity,810,50,0.5325900934455556,0.4220928983609446,0.7293846967637401
nn_theneighboursfelt_dac6cfcd-affectaffect,identity,887,50,0.5281674263958711,0.4464549462858674,0.7265779556488619
nn_theneighboursfelt_a8ffbba6-affectaffect,identity,795,50,0.5427396896504828,0.44977125685415303,0.736438733161562
nn_theneighboursfelt_bdc84a30-affectaffect,identity,799,50,0.5423971207789724,0.4426222059099597,0.735912600275216
nn_theneighboursfelt_0f0e9f2c-affectaffect,identity,824,50,0.5466578782294496,0.4605144983535011,0.7388324456770106
nn_theneighboursfelt_5838ee75-affectaffect,identity,806,50,0.5853601234068863,0.49279485012890945,0.7646102227800196
nn_theneighboursfelt_f9ac4b60-affectaffect,identity,827,50,0.5631340899942012,0.4736919266385339,0.7500563984674555
nn_theneighboursfelt_99adb54d-affectaffect,identity,810,50,0.55480614334425,0.4696237193599503,0.7441641218600755
nn_theneighboursfelt_f2646a8a-affectaffect,identity,830,50,0.5349467316245482,0.4447648747445439,0.7308367872580736
nn_theneighboursfelt_dee12fee-affectaffect,identity,871,50,0.5322137018191547,0.4306872712858533,0.7290939979587561
nn_andstartedto_d211c540-actionsexual,identity,905,50,0.46437038280707094,0.3485674493410877,0.6808771203756104
nn_andstartedto_4dc423e6-actionsexual,identity,889,50,0.48592521317075077,0.36400144932012835,0.6966460573393437
nn_andstartedto_e28bae3f-actionsexual,identity,846,50,0.4816025973560404,0.3312835442552591,0.6932070413464302
nn_andstartedto_bdddeba7-actionsexual,identity,840,50,0.4534778905255045,0.30401581106268755,0.6726675422354992
nn_doorwerealways_cb1cca36-traittrait,identity,1156,50,0.431353874521106,0.2868926090346738,0.6558204469415896
nn_doorwerealways_851a7900-traittrait,identity,1107,50,0.4154303267207757,0.2516963553666421,0.6435283957319496
nn_doorwerealways_47954c26-traittrait,identity,1160,50,0.4080310976126098,0.25319517322863017,0.6376854676679591
nn_doorwerealways_824f378b-traittrait,identity,1220,50,0.34251947261369914,0.12317701010208029,0.5838648268677908
nn_theneighboursfelt_f481eae5-affectaffect,identity,845,50,0.5342479374999337,0.4386417625795705,0.7303212038093102
nn_theneighboursfelt_e76e027f-affectaffect,identity,792,50,0.5829891254870213,0.515824110373542,0.7630736577935544
nn_theneighboursfelt_59fe21c7-affectaffect,identity,756,50,0.5820628937875415,0.5081136340978541,0.7624162446281059
nn_theneighboursfelt_5c3b6599-affectaffect,identity,742,50,0.5857967706606737,0.5063793343267674,0.7651050642516067
nn_shedecidedto_9c7422ad,institutional,613,50,0.5883045525302733,0.5113697459667503,0.7666710644495414
nn_managerdecidedto_e5e93e7b,institutional,566,50,0.6461472584122318,0.5696369230727554,0.8036018235460818
nn_shedecidedto_537dc2a9,institutional,582,50,0.6747503921895339,0.6265917388938391,0.8212324353427484
nn_landlorddecidedto_67bb2931,institutional,643,50,0.6390556646958044,0.5823519435743137,0.7991673988886557
nn_shedecidedto_e20f212b,institutional,449,50,0.6116270931940944,0.554113024353412,0.7814936992794659
nn_hospitaldecidedto_6a4c834e,institutional,661,50,0.5804118037535858,0.49349432834751267,0.7612661055593248
nn_collegedecidedto_fde72bf9,institutional,734,50,0.5362522647906596,0.4124386798347036,0.7316092487048922
nn_shedecidedto_fdd837a4,institutional,555,50,0.6175577295731294,0.5634445213540058,0.7853770834890684
nn_protestersdecidedto_1887550e,institutional,647,50,0.5347350000983548,0.4418225191430626,0.7304946878894334
nn_officersdecidedto_95332dbf,institutional,616,50,0.4671802920205869,0.3279149615127202,0.6829636492041002
nn_hedecidedto_e4e17e76,institutional,484,50,0.6611782329190292,0.5988925854254747,0.8128974882186591
nn_officedecidedto_4fecf708,institutional,651,50,0.5052884492867571,0.3904998495912695,0.7103622330031139
nn_letskillthese_076e3d0a,violence,2245,50,0.34041004748495196,0.1278058365579562,0.5820087040565164
nn_workersaretreated_e4852b0b,institutional,282,50,0.6737617972092516,0.6094279787075569,0.820175795296678
nn_severanceishould_d43eddc0,institutional,282,50,0.5279023353454578,0.3877632664821221,0.7242634551803648
nn_leaveishould_7f2461d9,institutional,384,50,0.5177536112916283,0.37798372055581436,0.7166416125204274
nn_mybossis_cce87f30,institutional,1061,50,0.6278619161908504,0.5695509929803529,0.7921832651270915
nn_myemployeeis_a5f7a5f4,institutional,1173,50,0.5240399873692958,0.4187616092765639,0.7234544004513663
