dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,A6,-0.0001612706761458867,19,22,41,0.755228657504631
lift,fields,en,N3.8---,-6.847307257542021e-06,19,22,41,0.755228657504631
lift,fields,en,S1.2.5-,-0.0003282816208572722,19,22,41,0.755228657504631
lift,fields,en,I3.2,2.4863607899795903e-05,23,20,43,0.7607916425613439
lift,fields,en,N3.3+,5.496896590918361e-05,23,20,43,0.7607916425613439
lift,fields,en,A1.7-,-9.260821665531468e-05,21,24,45,0.765991824244793
lift,fields,en,A13.5,2.5448304067498323e-05,24,21,45,0.765991824244793
lift,fields,en,A15+,-0.00012880503652314333,21,24,45,0.765991824244793
lift,fields,en,A5.2+,4.5076495450719215e-05,24,21,45,0.765991824244793
lift,fields,en,A6.2-,-5.070860087103731e-06,21,24,45,0.765991824244793
lift,fields,en,I1.1-,-5.6407107699044084e-05,21,24,45,0.765991824244793
lift,fields,en,I3.1,-4.0091610210507625e-05,21,24,45,0.765991824244793
lift,fields,en,N3.3-,-3.644827812239485e-05,21,24,45,0.765991824244793
lift,fields,en,N5,-3.28024692551106e-06,21,24,45,0.765991824244793
lift,fields,en,N5.1+c,5.0773224353513384e-05,24,21,45,0.765991824244793
lift,fields,en,N5.1-,-2.7400550463861388e-05,21,24,45,0.765991824244793
lift,fields,en,O1,2.108100091688151e-05,24,21,45,0.765991824244793
lift,fields,en,S1.1.3+,-2.757775714960429e-05,21,24,45,0.765991824244793
lift,fields,en,S2.2m,2.620273558847573e-05,24,21,45,0.765991824244793
lift,fields,en,S2mf,-2.3590110962223394e-05,21,24,45,0.765991824244793
lift,fields,en,T2-,4.337053660615976e-05,24,21,45,0.765991824244793
lift,fields,en,T4--,-2.814985519964889e-05,21,24,45,0.765991824244793
lift,fields,en,X2.3,-0.00017867780336511366,21,24,45,0.765991824244793
lift,fields,en,X2.6+,-4.3735115733843726e-05,21,24,45,0.765991824244793
lift,fields,en,X3.2+,-0.0002510125054047451,21,24,45,0.765991824244793
lift,fields,en,Y2,-0.00015529323568480195,21,24,45,0.765991824244793
lift,fields,en,Z6,0.00014789722786434336,24,21,45,0.765991824244793
lift,fields,en,Z8mfc,-5.076438939676258e-05,21,24,45,0.765991824244793
lift,fields,en,Z6cmf,2.1642169496272795e-05,9,7,16,0.803619384765625
lift,fields,en,Q4.2,6.535700591599993e-05,18,16,34,0.8641662404406816
lift,fields,en,A5.1++,0.00012265048551473852,19,17,36,0.8679394004284404
lift,fields,en,T3,0.0006205544949361922,19,17,36,0.8679394004284404
lift,fields,en,W1,6.275408747112275e-05,21,19,40,0.8746293123804207
lift,fields,en,A5.1+++,-0.00012675627342472018,20,22,42,0.8776143287523155
lift,fields,en,Q4,0.00037470342635715314,23,21,44,0.880395821280672
lift,fields,en,S2mfc,-9.280828987364428e-05,21,23,44,0.880395821280672
lift,fields,en,A1.1.1,1.1423732093707338e-05,23,22,45,1.0
lift,fields,en,A10-,-1.6065363160815706e-05,22,23,45,1.0
lift,fields,en,A12+,-4.139098245479065e-05,5,6,11,1.0
lift,fields,en,A5.1,0.00030198177726789745,12,11,23,1.0
lift,fields,en,A5.1-,-1.9058727214578892e-05,22,23,45,1.0
lift,fields,en,A5.4+,-1.3259744017963488e-05,22,23,45,1.0
lift,fields,en,A6.1,-9.459189716780443e-05,5,6,11,1.0
lift,fields,en,B2+,5.767827310693466e-05,23,22,45,1.0
lift,fields,en,E2++,0.00045766929614183383,3,2,5,1.0
lift,fields,en,E4.1+,1.8557567843291663e-05,23,22,45,1.0
lift,fields,en,E4.2+,2.7380527096945777e-05,23,22,45,1.0
lift,fields,en,E5+,-1.0965567204329887e-05,9,10,19,1.0
lift,fields,en,E5-,0.00019940895685766104,23,22,45,1.0
lift,fields,en,G2.1c,-4.5281028754566585e-08,2,2,4,1.0
lift,fields,en,H3,-4.81491256552589e-06,22,23,45,1.0
lift,fields,en,N1,-1.4894058868437474e-05,22,23,45,1.0
lift,fields,en,N3.2-,4.030731975731876e-05,23,22,45,1.0
lift,fields,en,N4,0.00010350669168714748,23,22,45,1.0
lift,fields,en,N5-,-7.666274459942521e-06,22,23,45,1.0
lift,fields,en,Q2.2-,8.066266710520354e-05,5,4,9,1.0
lift,fields,en,Q3,-1.5273529847215555e-05,22,23,45,1.0
lift,fields,en,Q4.1,-2.2147950884070827e-06,22,23,45,1.0
lift,fields,en,S1.1.3+c,8.581990029595524e-05,5,4,9,1.0
lift,fields,en,S1.2.1+,0.0002217526649168157,23,22,45,1.0
lift,fields,en,S1.2.2+,3.717133424259613e-06,23,22,45,1.0
lift,fields,en,S1.2.3+,-0.00011753139698765893,9,9,18,1.0
lift,fields,en,S1.2.3-,-0.00010443546176891693,1,2,3,1.0
lift,fields,en,S1.2.4+,0.00015989726412642507,23,22,45,1.0
lift,fields,en,S3.2,-0.00014825558803569793,22,23,45,1.0
lift,fields,en,S5c,-8.867994067143417e-07,15,15,30,1.0
lift,fields,en,S8-,8.734264174397543e-06,23,22,45,1.0
lift,fields,en,S9m,-1.0000259305613784e-05,1,2,3,1.0
lift,fields,en,T1.1,0.000846386080421991,2,1,3,1.0
lift,fields,en,T1.3,-1.92151821663548e-05,22,23,45,1.0
lift,fields,en,T4+,-0.0005747134841679809,2,3,5,1.0
lift,fields,en,X2.2+,-7.076100785823992e-05,22,23,45,1.0
lift,fields,en,X2.3+,4.2852311374104305e-06,23,22,45,1.0
lift,fields,en,X2.5-,-1.8188265955372623e-05,10,11,21,1.0
lift,fields,en,X3.3,-0.00011692783445255339,22,23,45,1.0
lift,fields,en,X3.4+,0.00010508635843178077,23,22,45,1.0
lift,fields,en,X9.1-,-2.6821906232020584e-05,2,2,4,1.0
