dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,M6,0.0002307700267402022,33,17,50,0.032839137564268484
lift,fields,en,N6,-0.0001656029768397881,17,33,50,0.032839137564268484
lift,fields,en,N6-,-0.0002781970354453396,17,33,50,0.032839137564268484
lift,fields,en,Q3,-0.00010273854418762528,17,33,50,0.032839137564268484
lift,fields,en,S2.2m,-0.0001780640738130778,17,33,50,0.032839137564268484
lift,fields,en,S6+,-0.0008107757270547577,17,33,50,0.032839137564268484
lift,fields,en,T1.1.1,0.00021006109201955262,33,17,50,0.032839137564268484
lift,fields,en,N3.5-,0.0003435225272217723,29,15,44,0.048766765904474596
lift,fields,en,X2,-0.00044343154061896224,15,29,44,0.048766765904474596
lift,fields,en,A6.3+,0.000333751682377595,31,17,48,0.05946337525377032
lift,fields,en,A12+,0.0004950267652942185,5,0,5,0.0625
lift,fields,en,S2mfn,-0.00035574112790171474,0,5,5,0.0625
lift,fields,en,A1.4,-0.00023261612341799663,18,32,50,0.06490864707227217
lift,fields,en,A1.8+,-0.0006307883945709321,18,32,50,0.06490864707227217
lift,fields,en,A5.4-,0.0001801382147705765,32,18,50,0.06490864707227217
lift,fields,en,E5-,-0.0007341502766251511,18,32,50,0.06490864707227217
lift,fields,en,E6-,0.00024503599546204244,32,18,50,0.06490864707227217
lift,fields,en,G2.1-,-0.00011051643126979354,18,32,50,0.06490864707227217
lift,fields,en,G2.2-,0.00035019255403259696,32,18,50,0.06490864707227217
lift,fields,en,M3fn,0.00024556777519519577,32,18,50,0.06490864707227217
lift,fields,en,N3.3,-9.579318404126733e-05,18,32,50,0.06490864707227217
lift,fields,en,N5.1+,0.0001429410814196397,32,18,50,0.06490864707227217
lift,fields,en,N5.2+,9.582074184897681e-05,32,18,50,0.06490864707227217
lift,fields,en,O1.1,-0.00020320004970557308,18,32,50,0.06490864707227217
lift,fields,en,O3,-0.00022508191161802068,18,32,50,0.06490864707227217
lift,fields,en,O4.2-,-0.00023856797805060575,18,32,50,0.06490864707227217
lift,fields,en,O4.4,0.00034240183610158254,32,18,50,0.06490864707227217
lift,fields,en,O4.6+,-0.0009038817785593451,18,32,50,0.06490864707227217
lift,fields,en,S4,-0.0006344059708783655,18,32,50,0.06490864707227217
lift,fields,en,T1.1.3,0.00019128078676423536,32,18,50,0.06490864707227217
lift,fields,en,X4.2,-0.00012546691507862704,18,32,50,0.06490864707227217
lift,fields,en,Z4,0.00014116487542450702,32,18,50,0.06490864707227217
lift,fields,en,Z8mf,0.0002841736808957972,32,18,50,0.06490864707227217
lift,fields,en,Z8mfc,0.0006709729227331494,32,18,50,0.06490864707227217
lift,fields,en,S1.2.6+,-0.0002814958685200291,15,27,42,0.08842954698775429
lift,fields,en,S1.2.1-,-0.0008442591671893485,3,10,13,0.09228515625
lift,fields,en,A13.3,0.00021214997407958345,31,19,50,0.11892045255943628
lift,fields,en,A8,0.00018338650811275303,31,19,50,0.11892045255943628
lift,fields,en,E2+,-0.0002854549172656619,19,31,50,0.11892045255943628
lift,fields,en,E6+,-0.0003505586942013617,19,31,50,0.11892045255943628
lift,fields,en,G1.1c,-0.0003426357431993951,19,31,50,0.11892045255943628
lift,fields,en,N3.8-,-0.00011409166050725387,19,31,50,0.11892045255943628
