table,target,n_covering,n_significant,families,agree_sign,cross_family,robust,unanimous,mean_slope,direction,lexical_slope,slot_slope,v6_harm_slope,lift_slope,lexical_p,slot_p,v6_harm_p,lift_p
levels,k_vulgarity,4,3,3,1,1,1,0,-0.011964620855900485,fall,-0.019481955737338547,-0.021999954872979698,0.0007925555851965142,-0.007169128398480212,2.098677427397888e-07,0.0026021714567221466,0.887724827340783,1.163555804595262e-06
contextual,slot_institutional_en_v3:mediation,4,3,3,1,1,1,0,-0.010158584373680337,fall,-0.013659182647336328,-0.020560790674890764,-0.002118244485358619,-0.004296119687135632,9.021490107130603e-05,0.0026021714567221466,0.47988766169832786,0.006600447966810918
levels,k_register_level_absz,4,3,3,1,1,1,0,-0.009825992865492893,fall,-0.010119177232972199,-0.021850622926111455,-0.0029840673754945425,-0.004350103927393371,0.015346677832630107,0.00030586400160359517,0.11892045255943628,0.015346677832630107
contextual,slot_rating_en_v6:harm,3,3,3,1,1,1,0,-0.004153301119923669,fall,-0.009754553932553492,-0.0021877797192109494,,-0.0005175697080065674,0.00030586400160359517,0.0026021714567221466,,0.00030586400160359517
fields,M1,4,3,3,1,1,1,0,0.003839201889715452,rise,0.0025441346712651424,0.004364463890839762,0.00804297487700812,0.0004052341197487827,2.3861331676755526e-05,0.00030586400160359517,9.021490107130603e-05,0.20263875106454066
fields,A3+,4,3,2,1,1,1,0,0.002953967638271341,rise,0.004250394733718622,0.0014686900830516777,0.003987487464014906,0.0021092982723001606,5.614100093254137e-06,0.6718110337653656,0.032839137564268484,0.000936222910851825
fields,S6+,4,3,3,1,1,1,0,-0.0026314956053610436,fall,-0.0032289826151595613,-0.006664067812473961,0.0001778437332441064,-0.0008107757270547577,0.000936222910851825,2.3861331676755526e-05,0.887724827340783,0.032839137564268484
fields,B2-,4,3,3,1,1,1,0,0.002428303200731433,rise,0.0031228276779199744,0.003833813173138929,0.0024264303116523856,0.00033014164021444233,0.006600447966810918,0.000936222910851825,0.006600447966810918,0.887724827340783
fields,S1.1.2+,4,3,3,1,1,1,0,-0.0018728142606994084,fall,-0.0024700978617172705,-0.0014980845768482517,-0.0032423400429764347,-0.0002807345612556769,3.243740565039843e-08,0.00030586400160359517,1.163555804595262e-06,0.47988766169832786
fields,Z8mfn,4,3,3,1,1,1,0,-0.0014895844736520086,fall,-0.002873200636238766,-0.002497677477618525,-0.00027296184022432095,-0.00031449794052642243,2.3861331676755526e-05,2.098677427397888e-07,0.887724827340783,0.015346677832630107
fields,X2,3,3,3,1,1,1,0,-0.0014280139353298922,fall,-0.0021155009576950324,-0.001725109307675682,,-0.00044343154061896224,6.169640777642371e-05,0.00010604466626773501,,0.048766765904474596
fields,A4.1,4,3,3,1,1,1,0,0.0013974549311856126,rise,0.0017394707131976315,0.001454198605457216,0.0015904197582114633,0.0008057306478761398,3.243740565039843e-08,0.032839137564268484,0.06490864707227217,5.614100093254137e-06
fields,K2,4,3,3,1,1,1,0,-0.0013839161448626197,fall,-0.000723461813740219,-0.0010440263541170946,-0.0035105306523929673,-0.0002576457592001982,0.015346677832630107,0.032839137564268484,0.015346677832630107,0.6718110337653656
fields,S1.1.1,4,3,2,1,1,1,0,-0.0011809043170361942,fall,-0.0024317138833249816,-0.0009031540146699382,-0.0010434959735324953,-0.0003452533966173616,2.098677427397888e-07,0.11892045255943628,0.000936222910851825,0.0026021714567221466
fields,A7-,4,3,3,1,1,1,0,0.001149952652657472,rise,0.0025808127046927144,0.0014768683203184414,5.855503941018769e-05,0.00048357454620854456,2.3861331676755526e-05,0.00030586400160359517,1.0,0.00030586400160359517
fields,A15+,4,3,3,1,1,1,0,0.0011181936220859825,rise,0.0006152340471225583,0.0016484409128830705,0.0017348800992210579,0.000474219429117243,0.032839137564268484,0.000936222910851825,0.20263875106454066,9.021490107130603e-05
fields,A9-,4,3,3,1,1,1,0,-0.0010561735041623866,fall,-0.0006373294123085986,-0.0024139237939151312,-0.0004647262245369996,-0.0007087145858888169,0.000936222910851825,2.3861331676755526e-05,0.11892045255943628,0.00030586400160359517
fields,N3.2+,4,3,3,1,1,1,0,-0.0009734883802237192,fall,-0.0016254390706607958,-0.001491695943677515,-0.0002957187767168689,-0.0004810997298396965,2.3861331676755526e-05,0.00030586400160359517,0.20263875106454066,2.3861331676755526e-05
fields,X2.1,4,3,3,1,1,1,0,-0.0008932947789411847,fall,-0.0015033142111537017,-0.0014631332639826657,-0.0001404255272891051,-0.00046630611333926613,5.614100093254137e-06,0.000936222910851825,0.6718110337653656,0.00030586400160359517
fields,O4.1,4,3,2,1,1,1,0,-0.0008908880215468911,fall,-0.0005605445941503218,-0.0009263982661298544,-0.001807454519929574,-0.00026915470597781393,0.11892045255943628,0.006600447966810918,9.021490107130603e-05,0.015346677832630107
fields,N3.8-,4,3,3,1,1,1,0,-0.0008485843489219266,fall,-0.00027950062198335514,-0.0018636357729750147,-0.001137109340222083,-0.00011409166050725387,0.032839137564268484,0.032839137564268484,0.0026021714567221466,0.11892045255943628
fields,X3.2,4,3,3,1,1,1,0,-0.0008477219039786326,fall,-0.0006862196035280911,-0.0012547655085420766,-0.0011108916710467955,-0.0003390108327975674,0.032839137564268484,0.032839137564268484,0.06490864707227217,0.006600447966810918
fields,A2.2,4,3,3,1,1,1,0,0.0006971596510829675,rise,0.0009235867459288099,0.001237608397260971,0.0003004374602416615,0.0003270060009004281,2.098677427397888e-07,2.3861331676755526e-05,0.47988766169832786,0.00030586400160359517
fields,K1,4,3,3,1,1,1,0,0.0006721588909736519,rise,0.0009098049919865168,0.0015219369209502607,-0.00012173070336310939,0.00037862435432093944,9.021490107130603e-05,0.000936222910851825,0.887724827340783,0.006600447966810918
fields,N6+,4,3,2,1,1,1,0,-0.0006510597703327215,fall,-0.0006195086187274614,-0.0011481711324857011,-0.0005350106612915491,-0.0003015486688261747,0.006600447966810918,0.11892045255943628,0.015346677832630107,0.006600447966810918
fields,N6,4,3,3,1,1,1,0,-0.0005915521381470451,fall,-0.001533110706746561,-0.0006547609787584015,-1.2733890243429442e-05,-0.0001656029768397881,0.000936222910851825,0.0026021714567221466,1.0,0.032839137564268484
fields,H4,4,3,3,1,1,1,0,-0.000529371783038418,fall,-0.0007188278093578986,-0.0022270788440453236,0.0012054569139317707,-0.00037703739268222055,2.3861331676755526e-05,1.163555804595262e-06,0.887724827340783,9.021490107130603e-05
fields,A5.3,4,3,3,1,1,1,0,-0.000520928463163525,fall,-0.0005500621762934289,-0.0010916300833551545,-0.0001299696421033488,-0.00031205195090216786,9.021490107130603e-05,5.614100093254137e-06,0.47988766169832786,0.006600447966810918
fields,I2.2,4,3,3,1,1,1,0,0.0005163048549580367,rise,0.00041679680664533135,0.0011605258408047923,0.00032294860915870865,0.00016494816322331485,0.000936222910851825,0.00030586400160359517,0.11892045255943628,0.032839137564268484
fields,X3.2+++,4,3,2,1,1,1,0,0.0005157945684825488,rise,0.0004393772449897019,6.4180886514635e-05,0.0013197747709034456,0.00023984537152241242,0.01862383661500644,0.8829959121223965,0.0022214337732293643,0.02589608179323477
