model,n_prompts,mean,breadth,intensity,mean_pct,breadth_pct,intensity_pct,max_dev,labelled_share,cjk_share
EleutherAI/pythia-6.9b,2189,0.014572184855654043,0.49611694837825493,0.029372479418993278,66.07142857142857,85.71428571428571,46.42857142857143,35.71428571428571,0.01839154341187229,0.00017308557859885255
llm-jp/llm-jp-3-7.2b,2189,0.012771182774355214,0.48743718592964824,0.02620067393914111,28.571428571428573,75.0,14.285714285714286,35.714285714285715,0.015877104656896915,0.00035042002113811523
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,2189,0.014464086148744022,0.5038830516217451,0.02870524440580296,62.5,87.5,33.92857142857143,37.5,0.018787870949762312,0.00016106873828163255
openbmb/MiniCPM5-1B-Base,2189,0.011542710400221793,0.39287345820009134,0.029380224495448262,14.285714285714286,12.5,48.214285714285715,37.5,0.014955063435683015,0.00018874629630964156
deepseek-ai/deepseek-llm-7b-base,2189,0.01163695509361229,0.4463225216994061,0.026072973080775132,16.071428571428573,39.285714285714285,10.714285714285714,39.285714285714285,0.014577393946811597,0.00022590493273847204
allenai/OLMo-2-0425-1B,2189,0.014598394425821453,0.4216537231612609,0.03462176099471632,67.85714285714286,19.642857142857142,89.28571428571429,39.28571428571429,0.018449743159371146,0.00019913909924597546
ibm-granite/granite-3.0-8b-base,2189,0.014194218692323141,0.5089081772498858,0.027891512313730122,55.357142857142854,89.28571428571429,17.857142857142858,39.28571428571429,0.017801249902837303,0.00022970081658123457
meta-llama/Llama-3.1-70B,2189,0.016371168760305106,0.48560986751941526,0.033712594935378995,89.28571428571429,73.21428571428571,85.71428571428571,39.28571428571429,0.0202651393758189,0.00024724463214147093
google/recurrentgemma-9b,2189,0.01639501583095255,0.4559159433531293,0.03596061087570654,91.07142857142857,51.785714285714285,91.07142857142857,41.07142857142857,0.020610007604702572,0.00019339889353368157
mistralai/Mistral-7B-v0.1,2189,0.01582057762095661,0.5121059844677935,0.03089317075135952,83.92857142857143,91.07142857142857,71.42857142857143,41.07142857142857,0.01965822390932978,0.0002927620309892479
tiiuae/Falcon-H1-1.5B-Base,2189,0.011979691250595125,0.46550936500685247,0.025734586994654297,17.857142857142858,60.714285714285715,8.928571428571429,41.07142857142857,0.015153494058987964,0.00019553041341326157
HuggingFaceTB/SmolLM2-360M,2189,0.011381661872913656,0.4458656920968479,0.025527108442426224,12.5,37.5,7.142857142857143,42.857142857142854,0.014857312634149246,0.0001121235612470424
LLM360/Amber,2189,0.013871557994488555,0.5153037916857013,0.02691918479604206,50.0,92.85714285714286,16.071428571428573,42.85714285714286,0.01790893168018403,0.00017629833911270057
meta-llama/Llama-3.1-8B,2189,0.01654294798024102,0.4901781635449977,0.033748847277490765,92.85714285714286,80.35714285714286,87.5,42.85714285714286,0.0207128085688709,0.00026710376469327683
allenai/OLMoE-1B-7B-0125,2189,0.01668053885417819,0.4600274097761535,0.03625988038907255,94.64285714285714,55.357142857142854,92.85714285714286,44.64285714285714,0.020814030509949264,0.00018020100663595777
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2189,0.01597195554307324,0.37962539972590226,0.04207293704426873,87.5,8.928571428571429,94.64285714285714,44.64285714285714,0.01944606213647401,0.0002476588936802143
openGPT-X/Teuken-7B-base-v0.6,2189,0.015387622552578242,0.5267245317496574,0.029213795114998935,80.35714285714286,94.64285714285714,42.857142857142854,44.64285714285714,0.019218811351884947,0.00025164072213154225
Qwen/Qwen2.5-0.5B,2189,0.009324892486507802,0.37231612608497033,0.025045631476031387,5.357142857142857,7.142857142857143,5.357142857142857,44.642857142857146,0.012139490441382347,0.00015818225016222645
Qwen/Qwen2.5-7B,2189,0.010672137484698778,0.3663773412517131,0.02912881415711424,8.928571428571429,5.357142857142857,39.285714285714285,44.642857142857146,0.01336937788217978,0.00019984637818785803
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,2189,0.01081700640084243,0.327089995431704,0.03307042878693307,10.714285714285714,3.5714285714285716,80.35714285714286,46.42857142857143,0.012682803252682522,0.000274525360959128
google/gemma-2-9b,2189,0.01828418966938913,0.4061215166742805,0.04502147490021688,96.42857142857143,17.857142857142858,96.42857142857143,46.42857142857143,0.01995456611807418,0.0004119542887780063
huggyllama/llama-7b,2189,0.015229968437325903,0.5399725902238465,0.028205076911426735,76.78571428571429,96.42857142857143,21.428571428571427,46.42857142857143,0.018946748285224767,0.0002168442593099023
tiiuae/Falcon3-3B-Base,2189,0.009006382667822013,0.3873915029693924,0.02324878733474338,3.5714285714285716,10.714285714285714,3.5714285714285716,46.42857142857143,0.011491782834838631,0.00018037320434165127
BSC-LT/salamandra-7b,2189,0.01588919034085641,0.5449977158519872,0.02915459987940879,85.71428571428571,98.21428571428571,41.07142857142857,48.21428571428571,0.019989837260338338,1.8210796604399848e-06
m-a-p/CT-LLM-Base,2189,0.009894071217660881,0.43398812243033347,0.022798023047852282,7.142857142857143,25.0,1.7857142857142858,48.214285714285715,0.013074527770620493,0.00026026894905125574
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,2189,0.008534912982513965,0.32663316582914576,0.026129964361850447,1.7857142857142858,1.7857142857142858,12.5,48.214285714285715,0.01047922042082051,0.00013294375372850537
BAAI/Aquila2-7B,2189,0.01893866529657154,0.2549109182275011,0.07429522998959694,98.21428571428571,0.0,98.21428571428571,50.0,0.020662057241385142,0.00032504255021404847
tiiuae/Falcon3-1B-Base,2189,0.008264482253216314,0.39972590223846505,0.020675373316903445,0.0,14.285714285714286,0.0,50.0,0.010533517566787312,0.00025613032042115096
