source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
N-,N-,W,W,25,48,217,1.1080,0.6835,0.885433,letter,32
O+,O+,A,A,31,49,851,1.1076,1.2940,0.0854331,letter,32
S+,S+,W,W,29,49,388,1.1072,0.7607,0.25287,letter,32
X+,X+,N-,N-,32,48,1077,1.1071,0.8405,0.0293049,letter,32
E-,E-,T,T,27,49,882,1.1069,1.2110,0.568172,letter,32
X+,X+,G-,G-,30,49,676,1.1063,0.8218,0.152408,letter,32
G,G,Y,Y,24,44,145,1.1060,1.4700,0.651588,letter,32
Z,Z,O+,O+,31,49,956,1.1058,1.1012,0.0854331,letter,32
G,G,A-,A-,32,49,857,1.1055,1.9845,0.0443842,letter,32
E-,E-,X+,X+,31,49,1452,1.1047,1.2477,0.0854331,letter,32
F-,F-,N+,N+,18,36,39,1.1038,1.0468,1,letter,32
B,B,G,G,31,49,498,1.1036,1.2574,0.0854331,letter,32
I,I,X,X,33,49,1724,1.1029,1.4122,0.0212941,letter,32
F,F,A-,A-,31,49,916,1.1026,1.4979,0.0854331,letter,32
K,K,A-,A-,32,49,846,1.1025,0.8351,0.0443842,letter,32
Z,Z,I-,I-,26,49,578,1.1025,0.9402,0.77545,letter,32
A-,A-,L,L,26,49,514,1.1013,1.0859,0.77545,letter,32
N+,N+,Z,Z,34,49,2111,1.1004,1.3081,0.00939924,letter,32
X-,X-,X+,X+,29,49,975,1.1001,0.5661,0.25287,letter,32
F,F,X+,X+,28,49,916,1.0999,1.4939,0.391603,letter,32
M,M,X+,X+,42,49,2099,1.0999,1.3435,3.62458e-07,letter,32
G-,G-,S,S,27,49,431,1.0994,0.9222,0.568172,letter,32
F,F,E+,E+,32,49,569,1.0993,1.4442,0.0443842,letter,32
N+,N+,X,X,36,49,1939,1.0968,1.1423,0.00140269,letter,32
L-,L-,A+,A+,35,49,686,1.0960,2.4115,0.00380165,letter,32
Q,Q,X+,X+,40,49,2025,1.0950,0.9418,9.26355e-06,letter,32
M,M,G-,G-,31,49,852,1.0948,1.1287,0.0854331,letter,32
T-,T-,S+,S+,33,49,1071,1.0942,1.2434,0.0212941,letter,32
M,M,A+,A+,42,49,2242,1.0935,1.2923,3.62458e-07,letter,32
S,S,M,M,32,49,1751,1.0933,1.3393,0.0443842,letter,32
N,N,X,X,32,49,1503,1.0933,1.2942,0.0443842,letter,32
O-,O-,N,N,28,48,174,1.0931,0.9517,0.312327,letter,32
O+,O+,S+,S+,26,49,690,1.0930,1.1795,0.77545,letter,32
E+,E+,E-,E-,28,49,845,1.0930,0.8750,0.391603,letter,32
X-,X-,N+,N+,27,48,919,1.0920,0.4459,0.470879,letter,32
L-,L-,N+,N+,30,49,555,1.0914,2.0661,0.152408,letter,32
I-,I-,X,X,30,49,856,1.0914,1.6284,0.152408,letter,32
B-,B-,W,W,26,48,127,1.0911,1.0438,0.665466,letter,32
A+,A+,X-,X-,29,49,1595,1.0905,1.2152,0.25287,letter,32
N,N,G,G,29,49,431,1.0900,0.9476,0.25287,letter,32
O+,O+,H,H,28,49,506,1.0898,1.3361,0.391603,letter,32
N+,N+,O,O,32,49,1955,1.0896,1.0279,0.0443842,letter,32
G,G,Q,Q,35,49,925,1.0895,1.8422,0.00380165,letter,32
L-,L-,X+,X+,36,49,611,1.0873,2.1751,0.00140269,letter,32
Q,Q,A,A,42,50,2212,1.0862,0.9422,1.16356e-06,letter,32
A+,A+,E+,E+,33,49,1458,1.0857,0.8386,0.0212941,letter,32
I,I,T+,T+,30,49,1374,1.0855,1.2176,0.152408,letter,32
T-,T-,H,H,28,49,727,1.0848,1.3203,0.391603,letter,32
S,S,C,C,25,48,279,1.0841,1.2534,0.885433,letter,32
E+,E+,H,H,28,48,709,1.0838,0.9734,0.312327,letter,32
G+,G+,A-,A-,21,42,34,1.0835,0.3230,1,letter,32
N,N,P,P,27,49,240,1.0834,0.9192,0.568172,letter,32
