source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
L1-,Life and living things [-],S7.1+,"Power, organizing [+]",20,48,341,0.9065,1.3366,0.312327,fine,32
E3-,Calm/Violent/Angry [-],Z3,Other proper names,22,49,166,0.9051,0.8618,0.568172,fine,32
L1-,Life and living things [-],Z1mf,Personal names [mf],22,49,178,0.9032,1.1424,0.568172,fine,32
L1-,Life and living things [-],T1.1.1,Time: General: Past,21,48,262,0.9007,1.2046,0.470879,fine,32
E3-,Calm/Violent/Angry [-],T1.1.2,Time: General: Present; simultaneous,22,49,251,0.8976,1.1454,0.568172,fine,32
L1-,Life and living things [-],S7.4+,Permission [+],16,48,302,0.8976,1.7717,0.0293049,fine,32
E3-,Calm/Violent/Angry [-],O4.2+,Judgement of appearance (pretty etc.) [+],21,47,448,0.8962,0.8757,0.560065,fine,32
E3-,Calm/Violent/Angry [-],Z5,Grammatical bin,14,49,1011,0.8961,1.0908,0.00380165,fine,32
L1-,Life and living things [-],W3,Geographical terms,19,46,118,0.8941,1.3577,0.301996,fine,32
L1-,Life and living things [-],O1.1,Substances and materials generally: Solid,18,49,225,0.8941,2.0325,0.0854331,fine,32
E3-,Calm/Violent/Angry [-],N5.1+c,Entirety; maximum [+c],19,42,52,0.8935,1.2547,0.643969,fine,32
E3-,Calm/Violent/Angry [-],N5-,Quantities [-],20,47,100,0.8923,1.0498,0.381693,fine,32
E3-,Calm/Violent/Angry [-],S1.2.4-,Politeness [-],23,47,215,0.8907,0.9284,1,fine,32
L1-,Life and living things [-],S7.2+,Respect [+],12,29,30,0.8889,1.5345,0.458258,fine,32
E3-,Calm/Violent/Angry [-],M7,Places,17,48,240,0.8884,1.1727,0.0594634,fine,32
L1-,Life and living things [-],X8+,Trying [+],15,49,348,0.8880,0.9952,0.00939924,fine,32
L1-,Life and living things [-],G2.2+,General ethics [+],17,37,24,0.8878,2.5672,0.742829,fine,32
E3-,Calm/Violent/Angry [-],O2,Objects generally,16,49,696,0.8862,1.1501,0.0212941,fine,32
L1-,Life and living things [-],S1.2.4-,Politeness [-],20,44,104,0.8859,1.4880,0.651588,fine,32
E3-,Calm/Violent/Angry [-],X5.1+,Attention [+],16,37,55,0.8839,1.3399,0.511376,fine,32
E3-,Calm/Violent/Angry [-],S1.1.3+,Participation [+],20,49,186,0.8798,1.2401,0.25287,fine,32
L1-,Life and living things [-],X7-,Wanting; planning; choosing [-],18,42,54,0.8791,2.7676,0.440799,fine,32
L1-,Life and living things [-],O4.3,Colour and colour patterns,19,44,67,0.8790,1.3768,0.451381,fine,32
E3-,Calm/Violent/Angry [-],C1,Arts and crafts,23,48,231,0.8790,0.9941,0.885433,fine,32
L1-,Life and living things [-],I3.1,Work and employment: Generally,19,49,191,0.8778,1.2582,0.152408,fine,32
L1-,Life and living things [-],L3,Plants,16,37,58,0.8761,1.7602,0.511376,fine,32
L1-,Life and living things [-],A6.1-,Comparing:- Similar/different [-],23,48,168,0.8760,1.8912,0.885433,fine,32
E3-,Calm/Violent/Angry [-],X9.2-,Ability:- Success and failure [-],22,48,135,0.8721,1.0984,0.665466,fine,32
L1-,Life and living things [-],M3,Vehicles and transport on land,20,49,239,0.8661,1.4800,0.25287,fine,32
L1-,Life and living things [-],X2.1,"Thought, belief",21,49,341,0.8658,2.0468,0.391603,fine,32
E3-,Calm/Violent/Angry [-],B5,Clothes and personal belongings,23,49,275,0.8596,1.0824,0.77545,fine,32
L1-,Life and living things [-],I1.1,Money: Affluence,19,47,158,0.8572,1.2624,0.24296,fine,32
L1-,Life and living things [-],A14,Exclusivizers/particularizers,19,46,109,0.8565,1.4066,0.301996,fine,32
L1-,Life and living things [-],E3-,Calm/Violent/Angry [-],20,49,396,0.8532,1.3005,0.25287,fine,32
E3-,Calm/Violent/Angry [-],N3.8-,Measurement: Speed [-],19,47,362,0.8519,0.8324,0.24296,fine,32
L1-,Life and living things [-],S1.1.3+,Participation [+],18,49,197,0.8503,1.7130,0.0854331,fine,32
L1-,Life and living things [-],G1.2,Politics,22,46,25,0.8457,1.1252,0.882996,fine,32
L1-,Life and living things [-],S5+,Groups and affiliation [+],21,46,74,0.8449,1.2966,0.658738,fine,32
L1-,Life and living things [-],Z3c,Other proper names [c],20,48,243,0.8396,1.8167,0.312327,fine,32
L1-,Life and living things [-],S2mf,People [mf],16,49,173,0.8329,1.5268,0.0212941,fine,32
L1-,Life and living things [-],A5.4-,Evaluation:- Authenticity [-],16,40,55,0.8316,1.2585,0.268187,fine,32
L1-,Life and living things [-],O4.2+,Judgement of appearance (pretty etc.) [+],19,47,209,0.8315,1.1731,0.24296,fine,32
L1-,Life and living things [-],T4--,Time: Early/late [--],18,45,69,0.8301,0.9629,0.232693,fine,32
L1-,Life and living things [-],G2.1-,"Crime, law and order: Law and order [-]",14,48,171,0.8290,0.9452,0.0055152,fine,32
E3-,Calm/Violent/Angry [-],N5,Quantities,20,49,477,0.8236,0.9661,0.25287,fine,32
L1-,Life and living things [-],Z5,Grammatical bin,12,49,572,0.8218,1.5151,0.000469757,fine,32
E3-,Calm/Violent/Angry [-],L2,Living creatures generally,13,48,140,0.8193,0.8793,0.00208811,fine,32
E3-,Calm/Violent/Angry [-],A1.8-,Inclusion/Exclusion [-],14,31,15,0.8176,0.8759,0.7201,fine,32
E3-,Calm/Violent/Angry [-],S2mf,People [mf],15,49,300,0.8159,0.8988,0.00939924,fine,32
E3-,Calm/Violent/Angry [-],T1.2,Time: Momentary,20,47,31,0.8121,1.3228,0.381693,fine,32
E3-,Calm/Violent/Angry [-],N3.2-,Measurement: Size  [-],19,44,46,0.8106,1.0313,0.451381,fine,32
E3-,Calm/Violent/Angry [-],S8-,Helping/hindering [-],15,49,276,0.8065,0.9590,0.00939924,fine,32
E3-,Calm/Violent/Angry [-],Z8mf,Pronouns etc. [mf],20,49,508,0.8024,0.8954,0.25287,fine,32
E3-,Calm/Violent/Angry [-],M8,Remaining/stationary,20,49,382,0.7881,0.8036,0.25287,fine,32
L1-,Life and living things [-],L1+,Life and living things [+],20,47,98,0.7843,0.9179,0.381693,fine,32
E3-,Calm/Violent/Angry [-],M3,Vehicles and transport on land,13,48,331,0.7833,0.7447,0.00208811,fine,32
L1-,Life and living things [-],N4,Linear order,20,48,385,0.7826,1.4904,0.312327,fine,32
L1-,Life and living things [-],X3.3,Sensory:- Touch,17,45,56,0.7788,1.6251,0.135156,fine,32
L1-,Life and living things [-],S8-,Helping/hindering [-],19,49,215,0.7783,1.6769,0.152408,fine,32
L1-,Life and living things [-],E2+,Liking [+],18,48,138,0.7758,1.0735,0.111403,fine,32
E3-,Calm/Violent/Angry [-],S7.4-,Permission [-],13,36,20,0.7745,0.5186,0.132498,fine,32
E3-,Calm/Violent/Angry [-],I3.1-,Work and employment: Generally [-],19,49,179,0.7736,0.8126,0.152408,fine,32
E3-,Calm/Violent/Angry [-],T2++,Time: Beginning and ending [++],19,48,362,0.7700,0.7271,0.193413,fine,32
