source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
L1-,Life and living things [-],X5.1+,Attention [+],18,35,41,1.0396,3.2100,1,fine,32
L1-,Life and living things [-],A1.1.1,"General actions, making etc.",26,49,636,1.0392,2.2152,0.77545,fine,32
L1-,Life and living things [-],T2+,Time: Beginning and ending [+],28,49,389,1.0389,2.3354,0.391603,fine,32
E3-,Calm/Violent/Angry [-],F2,Drinks,24,46,91,1.0383,0.8727,0.882996,fine,32
E3-,Calm/Violent/Angry [-],A1.7+,Constraint [+],25,48,316,1.0382,1.5284,0.885433,fine,32
E3-,Calm/Violent/Angry [-],X4.1,Mental object:- Conceptual object,20,39,97,1.0374,1.6505,1,fine,32
L1-,Life and living things [-],G1.1,Government etc.,19,37,19,1.0315,2.3215,1,fine,32
E3-,Calm/Violent/Angry [-],A1.7-,Constraint [-],25,47,210,1.0295,1.3099,0.770867,fine,32
E3-,Calm/Violent/Angry [-],S7.2-,Respect [-],19,37,36,1.0291,0.7352,1,fine,32
L1-,Life and living things [-],X7+,Wanting; planning; choosing [+],26,47,234,1.0282,2.2019,0.560065,fine,32
E3-,Calm/Violent/Angry [-],S1.2,Personality traits,23,46,119,1.0246,1.0728,1,fine,32
L1-,Life and living things [-],X2.4,"Investigate, examine, test, search",25,47,194,1.0244,2.9239,0.770867,fine,32
L1-,Life and living things [-],X2.2+,Knowledge [+],25,49,196,1.0243,1.8162,1,fine,32
L1-,Life and living things [-],E2+,Liking [+],26,48,90,1.0229,0.9847,0.665466,fine,32
L1-,Life and living things [-],S1.1.2+,Reciprocity [+],25,48,133,1.0202,2.8910,0.885433,fine,32
E3-,Calm/Violent/Angry [-],T1.1.1,Time: General: Past,25,49,488,1.0183,0.8241,1,fine,32
L1-,Life and living things [-],I3.1-,Work and employment: Generally [-],25,48,131,1.0176,1.7674,0.885433,fine,32
E3-,Calm/Violent/Angry [-],H4,Residence,22,43,45,1.0155,0.7457,1,fine,32
E3-,Calm/Violent/Angry [-],F4,Farming & Horticulture,22,44,71,1.0152,1.0217,1,fine,32
E3-,Calm/Violent/Angry [-],N5.1+,Entirety; maximum [+],24,47,151,1.0112,0.8164,1,fine,32
L1-,Life and living things [-],A13.6,Degree: Diminishers,22,43,75,1.0102,2.0134,1,fine,32
L1-,Life and living things [-],O1.2,Substances and materials generally: Liquid,24,45,94,1.0099,1.2076,0.765992,fine,32
E3-,Calm/Violent/Angry [-],A9+,Getting and giving; possession [+],26,49,884,1.0098,0.9721,0.77545,fine,32
E3-,Calm/Violent/Angry [-],S7.2+,Respect [+],20,40,58,1.0034,1.6645,1,fine,32
E3-,Calm/Violent/Angry [-],B5,Clothes and personal belongings,25,49,156,1.0009,1.1906,1,fine,32
E3-,Calm/Violent/Angry [-],C1,Arts and crafts,24,48,191,0.9990,1.1590,1,fine,32
L1-,Life and living things [-],X3.2++,Sensory:- Sound [++],24,48,149,0.9986,2.1673,1,fine,32
L1-,Life and living things [-],A9-,Getting and giving; possession [-],24,49,426,0.9916,1.9690,1,fine,32
E3-,Calm/Violent/Angry [-],A2.2,Affect:- Cause/Connected,24,49,388,0.9905,0.8448,1,fine,32
L1-,Life and living things [-],S1.2.4+,Politeness [+],22,44,76,0.9894,2.0806,1,fine,32
L1-,Life and living things [-],K2,Music and related activities,23,46,94,0.9832,2.2049,1,fine,32
L1-,Life and living things [-],G2.2+,General ethics [+],18,37,24,0.9831,2.2427,1,fine,32
L1-,Life and living things [-],S8-,Helping/hindering [-],24,49,191,0.9831,1.7213,1,fine,32
L1-,Life and living things [-],G2.1,"Crime, law and order: Law and order",24,49,111,0.9801,1.8961,1,fine,32
E3-,Calm/Violent/Angry [-],T3-,"Time: Old, new and young; age [-]",22,46,27,0.9783,0.6627,0.882996,fine,32
L1-,Life and living things [-],A9+,Getting and giving; possession [+],23,49,602,0.9764,1.5837,0.77545,fine,32
E3-,Calm/Violent/Angry [-],M6,Location and direction,23,49,734,0.9764,1.0559,0.77545,fine,32
E3-,Calm/Violent/Angry [-],X2.1,"Thought, belief",23,48,429,0.9715,1.1119,0.885433,fine,32
