base,aligned,arm,j_risers,j_candidates,residual,j_null,vs_null,n_pairs
tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,"same scene, vary group (room)",0.3220,0.6072,-0.2705,0.0263,0.2927,276
tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,"same scene, vary group (next door)",0.5417,0.6726,-0.1246,0.0263,0.5128,276
tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,"same group, vary scene",0.0000,0.0629,-0.0629,0.0000,0.0000,24
tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,"same scene, vary group (room)",0.2910,0.5771,-0.2764,0.0318,0.2571,276
tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,"same scene, vary group (next door)",0.3571,0.6166,-0.2658,0.0323,0.3154,276
tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,"same group, vary scene",0.0000,0.0193,-0.0193,0.0000,0.0000,24
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,"same scene, vary group (room)",0.4667,0.5840,-0.1200,0.0351,0.4289,276
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,"same scene, vary group (next door)",0.3333,0.6686,-0.3242,0.0000,0.3125,276
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,"same group, vary scene",0.0000,0.0087,-0.0087,0.0000,0.0000,24
tiiuae/falcon-7b,tiiuae/falcon-7b-instruct,"same scene, vary group (room)",0.4706,0.5879,-0.1168,0.0312,0.4371,276
tiiuae/falcon-7b,tiiuae/falcon-7b-instruct,"same scene, vary group (next door)",0.5238,0.6491,-0.1249,0.0323,0.4916,276
tiiuae/falcon-7b,tiiuae/falcon-7b-instruct,"same group, vary scene",0.0000,0.0088,-0.0088,0.0000,0.0000,24
tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,"same scene, vary group (room)",0.4807,0.6489,-0.1508,0.0312,0.4650,276
tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,"same scene, vary group (next door)",0.5600,0.6724,-0.1110,0.0526,0.5059,276
tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,"same group, vary scene",0.0000,0.0062,-0.0062,0.0000,0.0000,24
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,"same scene, vary group (room)",0.0769,0.5248,-0.4452,0.0000,0.0588,276
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,"same scene, vary group (next door)",0.1068,0.5475,-0.4241,0.0312,0.0768,276
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,"same group, vary scene",0.0000,0.0177,-0.0177,0.0000,0.0000,24
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,"same scene, vary group (room)",0.4211,0.5708,-0.1436,0.0323,0.4035,276
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,"same scene, vary group (next door)",0.4737,0.6631,-0.1852,0.0333,0.4462,276
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,"same group, vary scene",0.0000,0.0104,-0.0104,0.0000,0.0000,24
