source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
L,L,O-,O-,8,46,40,0.2611,0.2808,9.2477e-06,letter,32
P,P,B-,B-,13,44,41,0.2601,0.2298,0.00955988,letter,32
T-,T-,O-,O-,9,47,104,0.2591,0.3132,2.4904e-05,letter,32
I+,I+,N+,N+,8,36,20,0.2586,0.0292,0.00119324,letter,32
X+,X+,I+,I+,10,42,45,0.2546,0.1306,0.000940674,letter,32
E+,E+,G+,G+,14,41,33,0.2482,0.2355,0.0595839,letter,32
W,W,E,E,7,37,23,0.2469,0.2806,0.000191076,letter,32
B+,B+,S,S,13,38,41,0.2464,0.3119,0.0729514,letter,32
G+,G+,I,I,16,40,17,0.2456,0.0608,0.268187,letter,32
W,W,W-,W-,13,43,10,0.2362,0.2679,0.0137182,letter,32
X,X,I+,I+,10,38,44,0.2315,0.1298,0.00509764,letter,32
L-,L-,O-,O-,8,44,56,0.2297,0.5497,2.54486e-05,letter,32
W,W,K,K,7,48,100,0.2286,0.2529,6.24041e-07,letter,32
H,H,L+,L+,13,45,37,0.2286,0.1439,0.00660882,letter,32
S-,S-,L+,L+,13,48,63,0.2253,0.1258,0.00208811,letter,32
E,E,G-,G-,10,48,56,0.2248,0.1326,6.16964e-05,letter,32
W,W,Y,Y,15,47,113,0.2224,0.2740,0.0186238,letter,32
B,B,G+,G+,10,33,25,0.2209,0.1064,0.035082,letter,32
A-,A-,W-,W-,11,43,20,0.2198,0.1880,0.00191396,letter,32
S,S,B+,B+,11,36,37,0.2183,0.0496,0.0288167,letter,32
P,P,F,F,14,48,76,0.2176,0.2598,0.0055152,letter,32
G-,G-,P,P,11,44,49,0.2175,0.2405,0.00126003,letter,32
W,W,C,C,13,44,36,0.2173,0.1608,0.00955988,letter,32
T,T,L+,L+,11,45,55,0.2168,0.1348,0.000824082,letter,32
E,E,P,P,12,45,52,0.2155,0.1124,0.0024589,letter,32
B-,B-,I-,I-,13,45,59,0.2086,0.2555,0.00660882,letter,32
X-,X-,L+,L+,14,45,39,0.2059,0.0680,0.0160944,letter,32
P,P,I-,I-,14,49,43,0.2052,0.2006,0.00380165,letter,32
W-,W-,H,H,12,35,10,0.2050,0.0000,0.0895311,letter,32
E,E,W,W,12,37,26,0.2037,0.1082,0.047031,letter,32
I-,I-,I-,I-,5,48,71,0.1945,0.2012,1.36805e-08,letter,32
B+,B+,S+,S+,7,37,42,0.1926,0.2423,0.000191076,letter,32
S,S,I+,I+,10,42,40,0.1800,0.1024,0.000940674,letter,32
F-,F-,E+,E+,7,25,23,0.1800,0.2430,0.0432853,letter,32
B+,B+,O+,O+,11,37,35,0.1773,0.2846,0.0200739,letter,32
T+,T+,T+,T+,1,49,1142,0.1732,0.1099,1.77636e-13,letter,32
K,K,G+,G+,14,34,19,0.1731,0.0252,0.391528,letter,32
X-,X-,B+,B+,16,38,13,0.1724,0.0000,0.417692,letter,32
X+,X+,B+,B+,13,37,35,0.1709,0.0601,0.0988717,letter,32
L,L,T-,T-,7,48,80,0.1686,0.1827,6.24041e-07,letter,32
I-,I-,O-,O-,11,40,40,0.1685,0.3074,0.00642658,letter,32
A-,A-,B+,B+,17,39,36,0.1665,0.0401,0.522397,letter,32
Q,Q,F-,F-,6,28,22,0.1577,0.0069,0.00371917,letter,32
F-,F-,S+,S+,7,32,28,0.1523,0.0000,0.0021024,letter,32
N,N,G+,G+,11,34,30,0.1522,0.2588,0.0576127,letter,32
